Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Date
125.0,126.75,123.9000015258789,125.1500015258789,15471361,0.0,0.0,BEL.NS,2023-06-20
1013.8499755859375,1018.7999877929688,1002.5999755859375,1011.1500244140625,1413571,0.0,0.0,CIPLA.NS,2023-06-20
107.9000015258789,108.69999694824219,106.75,108.25,11218628,0.0,0.0,GAIL.NS,2023-06-20
3899.0,3899.0,3800.0,3848.699951171875,1946931,0.0,0.0,HAL.NS,2023-06-20
1604.1500244140625,1611.0,1590.6500244140625,1607.5,10002813,0.0,0.0,HDFCBANK.NS,2023-06-20
2653.949951171875,2663.0,2631.39990234375,2658.550048828125,5495069,0.0,0.0,HDFC.NS,2023-06-20
627.0,644.8499755859375,624.2000122070312,643.7000122070312,10400684,0.0,0.0,HDFCLIFE.NS,2023-06-20
68.69999694824219,69.05000305175781,67.0999984741211,68.1500015258789,6075220,0.0,0.0,HFCL.NS,2023-06-20
920.9500122070312,928.5499877929688,914.7999877929688,925.5499877929688,15212286,0.0,0.0,ICICIBANK.NS,2023-06-20
91.9000015258789,92.5999984741211,91.30000305175781,91.9000015258789,9394894,0.0,0.0,IOC.NS,2023-06-20
668.5,670.9000244140625,660.2000122070312,664.0499877929688,1519178,0.0,0.0,IRCTC.NS,2023-06-20
1294.0,1305.0,1291.0999755859375,1303.4000244140625,4009180,0.0,0.0,INFY.NS,2023-06-20
1820.0,1847.0,1815.300048828125,1844.0,4622905,0.0,0.0,KOTAKBANK.NS,2023-06-20
2364.949951171875,2389.64990234375,2354.449951171875,2382.0,1771306,0.0,0.0,LT.NS,2023-06-20
620.0,632.5,619.0499877929688,630.3499755859375,3041047,0.0,0.0,LICI.NS,2023-06-20
1402.5999755859375,1409.9000244140625,1380.699951171875,1396.449951171875,1042428,0.0,0.0,M&M.NS,2023-06-20
286.8999938964844,301.0,284.54998779296875,298.6499938964844,5797075,0.0,0.0,MIDHANI.NS,2023-06-20
2547.550048828125,2564.0,2535.0,2557.10009765625,3194085,0.0,0.0,RELIANCE.NS,2023-06-20
568.8499755859375,569.4500122070312,562.5499877929688,567.4000244140625,14549152,0.0,0.0,SBIN.NS,2023-06-20
1007.6500244140625,1007.75,989.5999755859375,991.9500122070312,1445688,0.0,0.0,SUNPHARMA.NS,2023-06-20
3214.0,3232.5,3201.050048828125,3227.699951171875,1528452,0.0,0.0,TCS.NS,2023-06-20
311.5,322.3500061035156,305.29998779296875,315.8999938964844,5141047,0.0,0.0,TATAMTRDVR.NS,2023-06-20
566.0499877929688,583.9500122070312,562.5,583.25,18074902,0.0,0.0,TATAMOTORS.NS,2023-06-20
223.10000610351562,226.35000610351562,222.60000610351562,224.9499969482422,11221842,0.0,0.0,TATAPOWER.NS,2023-06-20
114.0999984741211,115.25,113.5,114.25,30371599,0.0,0.0,TATASTEEL.NS,2023-06-20
381.79998779296875,384.95001220703125,380.6000061035156,382.5,5901329,0.0,0.0,WIPRO.NS,2023-06-20
16.299999237060547,16.399999618530273,16.149999618530273,16.25,62344783,0.0,0.0,YESBANK.NS,2023-06-20
